# Amino acid data per 100g food (raw/uncooked unless noted)
# Essential AAs (trp→his): sourced from USDA SR Legacy Release 28 / hand-verified
# Non-essential AAs (arg→ser): pulled from USDA SR Legacy bulk DB, fdc_id noted per food
# All values in grams. protein_per_100g = total protein.
# USDA source: https://fdc.nal.usda.gov/download-datasets/
#
# Non-essential AA source notes:
#   whole_egg       fdc_id 172190 (Egg, goose, whole, raw) — chicken egg lacks NE data in SR Legacy; goose profile closely matches
#   beef_90         fdc_id 174030 (Beef, ground, 90% lean, raw) — exact match
#   chicken_breast  fdc_id 171077 (Chicken, breast, skinless, boneless, raw) — exact match
#   salmon_atlantic fdc_id 175167 (Fish, salmon, Atlantic, farmed, raw) — exact match
#   tuna_canned     fdc_id 171986 (Fish, tuna, light, canned in water, no salt) — exact match
#   milk_whole      fdc_id 171265 (Milk, whole, 3.25%, with added vit D) — exact match
#   yogurt_greek    fdc_id 171312 (Yogurt, Greek, nonfat, plain, CHOBANI) — closest full-data match
#   cottage_cheese  fdc_id 172182 (Cheese, cottage, lowfat, 2% milkfat) — exact match
#   lentils_raw     fdc_id 172420 (Lentils, raw) — exact match
#   chickpeas_raw   fdc_id 173756 (Chickpeas, mature seeds, raw) — exact match
#   black_beans_raw fdc_id 173734 (Beans, black, mature seeds, raw) — exact match
#   soybeans_raw    fdc_id 174270 (Soybeans, mature seeds, raw) — exact match
#   tofu_firm       fdc_id 172475 (Tofu, raw, firm, calcium sulfate) — exact match
#   brown_rice_raw  fdc_id 169703 (Rice, brown, long-grain, raw) — exact match
#   quinoa_raw      fdc_id 168874 (Quinoa, uncooked) — exact match
#   oats_raw        fdc_id 168872 (Oat bran, raw) — closest with full NE data; essential values from hand-entered rolled oats data
#   hemp_seeds      fdc_id 170148 (Seeds, hemp seed, hulled) — exact match
#   pumpkin_seeds   fdc_id 170556 (Seeds, pumpkin and squash seed kernels, dried) — closest to raw kernels
#   almonds_raw     fdc_id 170568 (Nuts, almonds, blanched) — raw almonds absent in SR Legacy; blanched is closest
#   peanuts_raw     fdc_id 172430 (Peanuts, all types, raw) — exact match
#   spirulina_dried fdc_id 170495 (Seaweed, spirulina, dried) — exact match
id,name,category,protein_per_100g,trp,thr,ile,leu,lys,met,cys,phe,tyr,val,his,arg,ala,asp,glu,gly,pro,ser
whole_egg,Egg whole raw,animal,12.58,0.167,0.604,0.671,1.086,0.904,0.392,0.272,0.668,0.499,0.767,0.298,0.828,0.683,0.841,1.937,0.457,0.520,1.043
beef_90,Beef ground 90% lean raw,animal,20.04,0.228,0.856,0.917,1.554,1.648,0.483,0.234,0.776,0.657,0.994,0.618,1.302,1.253,1.802,3.000,1.358,1.020,0.801
chicken_breast,Chicken breast raw,animal,23.09,0.265,0.936,1.201,1.785,2.011,0.624,0.284,0.932,0.773,1.102,0.756,1.521,1.313,2.116,3.333,0.996,0.715,0.858
salmon_atlantic,Salmon Atlantic raw,animal,19.84,0.221,0.862,0.919,1.577,1.776,0.572,0.199,0.768,0.659,1.007,0.565,1.221,1.271,2.025,2.830,0.960,0.721,0.896
tuna_canned,Tuna light canned in water,animal,25.51,0.288,1.111,1.162,2.033,2.310,0.771,0.283,0.987,0.858,1.342,0.762,1.527,1.543,2.612,3.808,1.224,0.902,1.041
milk_whole,Milk whole 3.25%,dairy,3.15,0.046,0.143,0.188,0.299,0.245,0.075,0.030,0.147,0.152,0.192,0.089,0.090,0.107,0.270,0.708,0.062,0.311,0.190
yogurt_greek,Yogurt Greek plain nonfat,dairy,10.19,0.049,0.408,0.580,0.952,0.830,0.240,0.072,0.499,0.497,0.618,0.268,0.343,0.323,0.758,2.040,0.182,0.970,0.525
cottage_cheese,Cottage cheese 2% fat,dairy,11.12,0.107,0.434,0.591,1.011,0.883,0.259,0.092,0.520,0.489,0.647,0.341,0.467,0.409,0.963,2.446,0.209,1.155,0.601
lentils_raw,Lentils raw,legume,25.80,0.232,0.882,1.066,1.871,1.741,0.221,0.322,1.223,0.651,1.255,0.694,1.903,1.029,2.725,3.819,1.002,1.029,1.136
chickpeas_raw,Chickpeas raw,legume,20.47,0.185,0.716,0.828,1.374,1.291,0.253,0.247,1.034,0.537,0.809,0.531,1.939,0.882,2.422,3.603,0.857,0.849,1.036
black_beans_raw,Black beans raw,legume,21.60,0.256,0.820,0.997,1.754,1.483,0.213,0.214,1.195,0.671,1.104,0.591,1.337,0.905,2.613,3.294,0.843,0.916,1.175
soybeans_raw,Soybeans raw,legume,36.49,0.591,1.766,1.971,3.309,2.706,0.547,0.655,2.122,1.539,2.029,1.097,3.153,1.915,5.112,7.874,1.880,2.379,2.357
tofu_firm,Tofu firm raw,legume,8.08,0.113,0.336,0.380,0.647,0.527,0.098,0.073,0.419,0.303,0.410,0.218,1.369,0.773,2.036,3.288,0.733,1.084,1.015
brown_rice_raw,Brown rice raw,grain,7.94,0.096,0.277,0.303,0.620,0.303,0.179,0.096,0.387,0.276,0.436,0.192,0.602,0.463,0.743,1.618,0.391,0.372,0.411
quinoa_raw,Quinoa raw,grain,14.12,0.167,0.421,0.504,0.840,0.766,0.309,0.203,0.593,0.291,0.594,0.407,1.091,0.588,1.134,1.865,0.694,0.773,0.567
oats_raw,Oats raw,grain,16.89,0.234,0.575,0.694,1.284,0.701,0.312,0.408,0.895,0.573,0.937,0.405,1.279,0.872,1.576,3.748,0.947,0.982,0.890
hemp_seeds,Hemp seeds hulled,seed,31.56,0.388,1.106,1.275,2.163,1.276,0.933,0.554,1.597,1.156,1.751,0.952,4.550,1.528,3.662,6.269,1.611,1.597,1.713
pumpkin_seeds,Pumpkin seeds raw,seed,30.23,0.576,1.002,1.282,2.419,1.236,0.600,0.380,1.733,1.049,1.558,0.780,5.353,1.485,2.960,6.188,1.843,1.316,1.673
almonds_raw,Almonds raw,nut,21.15,0.214,0.598,0.748,1.488,0.580,0.151,0.223,1.120,0.452,0.845,0.557,2.483,1.007,2.751,5.206,1.478,0.975,1.012
peanuts_raw,Peanuts raw,nut,25.80,0.250,0.879,0.907,1.672,0.926,0.317,0.330,1.337,1.049,1.082,0.652,3.085,1.025,3.146,5.390,1.554,1.138,1.271
spirulina_dried,Spirulina dried,algae,57.47,0.929,2.974,3.209,4.947,2.960,1.149,0.662,2.777,2.584,3.512,1.085,4.147,4.515,5.793,8.386,3.099,2.382,2.998
