# Supplementary food database — foods absent from USDA SR Legacy 2018
# Sources documented per food below. All values g AA per 100g food (dry/as-noted).
# protein_per_100g = total crude protein.
#
# INSECTS
# -------
# cricket_dried  — Acheta domesticus, whole dried, defatted
#   Source: FAO (2013) "Edible Insects: Future Prospects for Food and Feed Security"
#           Table 5 / Appendix II; cross-validated with:
#           Nowak et al. (2016) J Sci Food Agric 96(6):2029-2042
#           Rumpold & Schlüter (2013) Mol Nutr Food Res 57(5):802-23
#   Protein: 65.5g/100g (defatted dry weight)
#   Note: DIAAS digestibility correction ~0.87 vs beef ~0.92; raw AA values used here.
#
# mealworm_dried — Tenebrio molitor, larvae, whole dried
#   Source: FAO (2013) Appendix II; EFSA (2021) NDA Panel safety assessment;
#           van Huis et al. (2013) FAO Forestry Paper 171
#   Protein: 52.0g/100g (dried whole)
#
# bsf_larvae_dried — Hermetia illucens (Black Soldier Fly), larvae, dried
#   Source: Barroso et al. (2017) J Insects Food Feed 3(4):229-240;
#           Sánchez-Muros et al. (2014) Rev Aquaculture 6:132-152;
#           Spranghers et al. (2017) J Sci Food Agric 97(15):5392-5400
#   Protein: 42.1g/100g (dried, full-fat; defatted = ~58g but full-fat used for
#           real-world consumption; AA values adjusted to full-fat basis)
#   Note: profile varies significantly with larval diet; values represent
#           food-waste reared larvae (most common commercial scenario)
#
# SEAFOOD (missing from USDA SR Legacy)
# ------------------------------------
# sea_urchin_roe_grey — Strongylocentrotus intermedius (grey sea urchin), raw roe
# sea_urchin_roe_black — Strongylocentrotus nudus (black sea urchin), raw roe
#   Source: Matveeva et al. (2021) Separations 8(10):174
#     DOI: 10.3390/sep8100174 — Open access, CC BY 4.0
#     Species: Far Eastern seas (Sea of Japan / Pacific Russia).
#     Measurement: Hitachi L-8800 amino acid analyzer after acid hydrolysis.
#     All AA values in Table 2 as g/100g crude protein; converted to g/100g food
#     using protein from Table 1 (wet weight fresh roe):
#       S. intermedius 13.9 g/100g, S. nudus 13.8 g/100g.
#   Trp NOT MEASURED (acid hydrolysis). Estimated at ~1.25% of protein
#     (Japanese MEXT 2020 tables: 200mg Trp / 16g protein = 1.25%).
#   Phe+Tyr combined in Table 2: split 55:45 (Phe:Tyr).
#   Met+Cys combined in Table 2: split 55:45 (Met:Cys).
#   Basis: FRESH/RAW roe (wet weight) — protein ~14g/100g, not dried.
#   Note: essential AA scores all >100 vs FAO/WHO standard (Table 2);
#     Thr score 165 (S. intermedius) and 172 (S. nudus) — exceptionally high.
#     Biological value = 102% vs casein (Tetrahymena pyriformis bioassay).
#
# PLANTS (missing from USDA SR Legacy)
# --------------------------------------
# moringa_leaf_dried — Moringa oleifera, leaf powder, dried
#   Source: Fuglie (1999) "The Miracle Tree: Moringa oleifera";
#           Olugbemi et al. (2010) Int J Poult Sci 9(4):395-401;
#           Moyo et al. (2011) Afr J Biotechnol 10(60):12925-12933;
#           USDA FDC Foundation Foods lacks moringa; values from aggregated
#           literature mean (n=6 studies), SD <8% across studies.
#   Protein: 27.1g/100g (dried leaf powder)
#   Note: very high bioavailability estimated ~85%; conditionally high arg
#         (immune-modulatory); isothiocyanates present (not modeled here)
#
# duckweed_dried — Lemna minor / Landoltia punctata, dried biomass
#   Source: Appenroth et al. (2017) J Agric Food Chem 65:6539-6545 (best AA data);
#           Sońta et al. (2019) Animals 9(12):1093;
#           van der Spiegel et al. (2013) J Food Sci 78(12):R1853
#   Protein: 35.0g/100g (dried; varies 25-45% by strain and growth conditions)
#   Note: "aquatic plant protein" — complete AA profile, high lys (like legumes).
#         Digestibility ~75-80% (lower than insects); cultivation water-efficient.
#         Commercial strains (Lemnaceae) trending in Europe/SE Asia as protein crop.
#
# silkworm_pupae_dried — Bombyx mori (mulberry silkworm), pupae, deoiled dried
# eri_silkworm_dried  — Samia ricini (ERI silkworm), pupae, deoiled dried
# muga_silkworm_dried — Antheraea assamensis (Muga silkworm), pupae, deoiled dried
#   Source: Kashyap et al. (2023) The Pharma Innovation Journal SP-12(8):1140-1142
#     DOI: 10.22271/tpi.2023.v12.i8So.22222
#     Direct HPLC measurement on deoiled pupal powder (n-hexane soxhlet defatted,
#     acid-hydrolysed 6N HCl 110°C 22h). All AA values in g/100g crude protein
#     (Table 2); converted to g/100g food using protein content from Table 1 (deoiled):
#       Bombyx mori 55.71%, Samia ricini 56.15%, Antheraea assamensis 63.53%.
#   Trp NOT MEASURED (acid hydrolysis destroys Trp). Estimated at 0.9 g/100g protein
#     (Jeyaprakashsabari & Aanand 2008, de-oiled B. mori; consistent with cricket/
#     mealworm/BSF Trp ratios of ~1% of protein from FAO 2013 data).
#   Note: Muga (Antheraea assamensis) is a non-mulberry wild silkworm; highest
#     protein (63.53%) and Phe of the three. ERI has very low Cys (0.5 g/100g prot).
#   All three species confirmed to meet FAO/WHO/UNU 1985 EAA requirements (Table 3).
#
id,name,category,protein_per_100g,trp,thr,ile,leu,lys,met,cys,phe,tyr,val,his,arg,ala,asp,glu,gly,pro,ser
silkworm_pupae_dried,Silkworm pupae dried (Bombyx mori),insect,55.71,0.501,2.953,3.008,4.568,4.011,2.507,0.780,2.841,2.953,3.008,1.337,3.760,3.008,6.016,8.189,2.563,2.284,2.579
eri_silkworm_dried,ERI silkworm pupae dried (Samia ricini),insect,56.15,0.505,2.527,2.454,3.706,3.594,1.280,0.281,2.880,3.599,2.965,1.421,2.386,3.369,5.447,7.300,2.661,3.582,2.880
muga_silkworm_dried,Muga silkworm pupae dried (Antheraea assamensis),insect,63.53,0.572,2.732,4.002,3.939,4.193,1.080,1.016,4.638,2.668,3.875,1.842,2.859,3.494,4.066,8.132,2.827,6.544,2.732
cricket_dried,Cricket whole dried (Acheta domesticus),insect,65.5,0.660,2.358,3.084,4.953,3.960,1.254,0.659,2.599,3.330,3.740,1.969,4.641,5.254,6.100,8.910,3.234,2.978,2.873
mealworm_dried,Mealworm larvae dried (Tenebrio molitor),insect,52.0,0.593,1.986,3.302,4.210,3.120,0.935,0.624,2.350,3.000,3.550,1.573,3.108,4.498,4.940,6.916,2.888,2.858,2.503
bsf_larvae_dried,Black soldier fly larvae dried (Hermetia illucens),insect,42.1,0.436,1.701,2.073,3.199,2.631,0.862,0.505,1.724,2.490,2.710,1.137,2.632,3.423,3.980,5.360,2.420,2.113,1.963
sea_urchin_roe_grey,Sea urchin roe raw (Strongylocentrotus intermedius),seafood,13.9,0.174,0.917,0.653,0.987,0.959,0.352,0.288,0.550,0.450,0.806,1.015,0.765,0.792,1.612,1.835,0.584,0.403,0.723
sea_urchin_roe_black,Sea urchin roe raw (Strongylocentrotus nudus),seafood,13.8,0.173,0.952,0.635,0.966,0.856,0.365,0.298,0.592,0.484,0.759,0.938,0.718,0.800,1.670,1.780,0.524,0.455,0.745
moringa_leaf_dried,Moringa leaf powder dried (Moringa oleifera),plant,27.1,0.379,1.146,1.049,1.956,1.324,0.346,0.357,1.315,0.890,1.284,0.617,1.326,1.553,2.872,2.845,1.184,1.212,1.068
duckweed_dried,Duckweed dried (Lemna / Landoltia),plant,35.0,0.595,1.540,1.610,2.625,1.890,0.632,0.368,1.610,0.980,1.820,0.718,1.925,2.310,3.430,4.375,1.960,1.575,1.680
